# w_1 w_2 mu_1 mu_2 sigma_1 sigma_2 logL logPrior
5.457065483684647722e-01 4.542934516315351723e-01 3.771907159347441585e+00 7.489124136023694867e-01 1.208106077814502965e+00 2.539953806302556849e+00 -4.570711521241513765e+03 0.000000000000000000e+00
4.297351319589295393e-01 5.702648680410705717e-01 3.470354827525518049e-01 3.736045184758168602e+00 2.470907415428341469e+00 1.328044071185288555e+00 -4.567088643892835535e+03 0.000000000000000000e+00
6.096523460713144660e-01 3.903476539286854785e-01 3.751409452122338450e+00 3.319117049752720039e-01 1.339371235108858471e+00 2.404743843854417307e+00 -4.565116587267579234e+03 0.000000000000000000e+00
6.825218632784136874e-01 3.174781367215863681e-01 3.435506448408984781e+00 -1.108421832268093876e-01 1.403491451779507848e+00 1.850945737469745556e+00 -4.564852974978719431e+03 0.000000000000000000e+00
2.848365748160306410e-01 7.151634251839693590e-01 -4.977974334973424009e-01 3.422104396446088437e+00 1.549846961232484999e+00 1.498641061772436167e+00 -4.564541795584920692e+03 0.000000000000000000e+00
2.506829813667682538e-01 7.493170186332318572e-01 -6.509236016664791125e-01 3.424705683682265800e+00 1.642452833671618428e+00 1.607032391207521282e+00 -4.564466805641641258e+03 0.000000000000000000e+00
7.031584556405282571e-01 2.968415443594717429e-01 3.399786860685019896e+00 -4.664667076816241820e-01 1.389897563277705972e+00 1.828405714547457261e+00 -4.564044735537398083e+03 0.000000000000000000e+00
6.303842901998285564e-01 3.696157098001714436e-01 3.690703212480171747e+00 3.162814053118720437e-01 1.287610753583348977e+00 2.162301286522426924e+00 -4.563946937391394385e+03 0.000000000000000000e+00
6.539193593308226804e-01 3.460806406691774306e-01 3.515272940740929108e+00 -1.112304310915374073e-01 1.418973207083430887e+00 2.371656385861372840e+00 -4.563417371465990072e+03 0.000000000000000000e+00
3.145078974402403804e-01 6.854921025597597861e-01 -2.705765258581860344e-01 3.556133861556758369e+00 1.958297908506285934e+00 1.270508378192574783e+00 -4.563404430800000227e+03 0.000000000000000000e+00
3.300355595855855584e-01 6.699644404144144971e-01 -5.411486408005605764e-02 3.462083723837783733e+00 1.939172348953874803e+00 1.450250303185396827e+00 -4.563238555566991636e+03 0.000000000000000000e+00
6.131015950340359399e-01 3.868984049659640045e-01 3.659648466213778040e+00 3.287983182056920528e-01 1.256693760589579600e+00 2.594270133025769809e+00 -4.563157527076307815e+03 0.000000000000000000e+00
3.221548947118666462e-01 6.778451052881333538e-01 -2.582896173589019906e-01 3.522646068048509438e+00 1.860838348155852584e+00 1.548662652505278015e+00 -4.563143414058968119e+03 0.000000000000000000e+00
3.945463693248528192e-01 6.054536306751471253e-01 3.298833915236417114e-01 3.665522682809039701e+00 2.210661703117671628e+00 1.285435075495588775e+00 -4.562999215159386040e+03 0.000000000000000000e+00
6.329059398767982181e-01 3.670940601232018374e-01 3.584249942358555430e+00 1.464774425078121944e-01 1.397630680258731939e+00 2.510571651569189822e+00 -4.562914644196027439e+03 0.000000000000000000e+00
2.981027596688091696e-01 7.018972403311908304e-01 -3.765623878223087195e-01 3.404454124845868623e+00 1.841488751601871865e+00 1.385360775078559481e+00 -4.562822700519402133e+03 0.000000000000000000e+00
3.512188281941621137e-01 6.487811718058379418e-01 2.024303314952980992e-01 3.531487334366349540e+00 2.216588218560734180e+00 1.330585054939194878e+00 -4.562784038736876937e+03 0.000000000000000000e+00
3.420687170357851747e-01 6.579312829642148808e-01 6.250538701158075972e-02 3.609967007929414606e+00 2.496187814197393884e+00 1.361965222941315723e+00 -4.562767666815453595e+03 0.000000000000000000e+00
