# w_1 w_2 mu_1 mu_2 sigma_1 sigma_2 logL logPrior
4.174194961029751849e-01 5.825805038970248706e-01 5.732333436654545311e-01 3.729588506507024448e+00 2.429201060743185536e+00 1.258257038697254471e+00 -4.565904973772288940e+03 0.000000000000000000e+00
6.540228991198547837e-01 3.459771008801452163e-01 3.687865681362207493e+00 -7.204484739065727950e-02 1.251008579656366138e+00 2.247747456712765324e+00 -4.564779939347252366e+03 0.000000000000000000e+00
7.232035209614489091e-01 2.767964790385512019e-01 3.481432055472552634e+00 -3.986833443186440507e-01 1.595401604403902773e+00 1.684991574626614641e+00 -4.564551304827908098e+03 0.000000000000000000e+00
6.207147081574188041e-01 3.792852918425811404e-01 3.669518200953439280e+00 2.661463568913614575e-01 1.219714763013324932e+00 2.503867453882428151e+00 -4.564210911463137563e+03 0.000000000000000000e+00
3.955904073251404474e-01 6.044095926748594971e-01 5.014659707555674251e-02 3.591877360887235859e+00 2.398493114208971377e+00 1.311971623294697409e+00 -4.563914338735063211e+03 0.000000000000000000e+00
3.379882211507354017e-01 6.620117788492645428e-01 -3.639376256689383360e-01 3.577183623161872994e+00 1.791757233471012789e+00 1.455676299869764545e+00 -4.563903695451997919e+03 0.000000000000000000e+00
6.323595253174797426e-01 3.676404746825202574e-01 3.657077496978577535e+00 7.016816406976571219e-02 1.211166195466938378e+00 2.207144887754485918e+00 -4.563677330840008835e+03 0.000000000000000000e+00
2.959661996964594310e-01 7.040338003035405690e-01 -2.221129306171615025e-01 3.631639363465936743e+00 1.877859616265967313e+00 1.468165687926394902e+00 -4.563208550410435237e+03 0.000000000000000000e+00
2.975395828049317015e-01 7.024604171950683540e-01 -2.120377929655969940e-01 3.589393606020902183e+00 2.232711106094236619e+00 1.354466942638193228e+00 -4.563046333961097844e+03 0.000000000000000000e+00
3.563322673593510292e-01 6.436677326406489152e-01 3.141415138981263344e-01 3.661285394865471776e+00 2.191291342415337962e+00 1.290094422028190468e+00 -4.563038679344379489e+03 0.000000000000000000e+00
7.316640975109022227e-01 2.683359024890977773e-01 3.437570089447390842e+00 -2.552154985068021409e-01 1.469690190501799165e+00 2.007739198446599982e+00 -4.562732448958253372e+03 0.000000000000000000e+00
6.465871973170328468e-01 3.534128026829672087e-01 3.612265881656003597e+00 2.280581411650116630e-01 1.285922939274489307e+00 2.104967212781575725e+00 -4.562489146741684635e+03 0.000000000000000000e+00
2.897994211765618777e-01 7.102005788234381223e-01 -8.807969740169983852e-02 3.484260490930713328e+00 2.158313376991266352e+00 1.444300540290296642e+00 -4.562427288748804131e+03 0.000000000000000000e+00
3.680113860617083010e-01 6.319886139382917545e-01 2.026681192107252505e-01 3.654067082053679361e+00 2.345825977313419575e+00 1.423634540242997293e+00 -4.562416806251778326e+03 0.000000000000000000e+00
3.227664393013945365e-01 6.772335606986055190e-01 -6.189989076741730933e-03 3.636749077959132492e+00 2.010924133560279436e+00 1.264394817863646159e+00 -4.562362673335634099e+03 0.000000000000000000e+00
3.503413260661969453e-01 6.496586739338030547e-01 5.452201090774311254e-02 3.497917314697088553e+00 2.212166786909256277e+00 1.435548880325064447e+00 -4.562273163301978457e+03 0.000000000000000000e+00
2.928463820421076669e-01 7.071536179578923331e-01 -4.094563649218006529e-01 3.513509515165186059e+00 1.630875977413990485e+00 1.501314202055487268e+00 -4.562177229260577406e+03 0.000000000000000000e+00
6.186586915256447883e-01 3.813413084743552117e-01 3.647917087820742754e+00 2.889791604538885506e-01 1.280509658013944341e+00 2.573469145220560250e+00 -4.562143983617434060e+03 0.000000000000000000e+00
2.752272821995691565e-01 7.247727178004308435e-01 -2.964593475337911066e-01 3.557691942511891803e+00 1.955697568070302816e+00 1.349596567800547708e+00 -4.562103689400182702e+03 0.000000000000000000e+00
6.493540830099200356e-01 3.506459169900800754e-01 3.590578460377487513e+00 -5.394615252271763028e-02 1.405815190622815791e+00 2.422137694313430956e+00 -4.562047490769883552e+03 0.000000000000000000e+00
5.985014024095555163e-01 4.014985975904444282e-01 3.680208526299623362e+00 1.366075916312005090e-01 1.330015432827912569e+00 2.274296141956136719e+00 -4.561999470813127118e+03 0.000000000000000000e+00
3.280258890892247536e-01 6.719741109107753019e-01 8.847206256725108353e-02 3.627913687881795912e+00 2.331832308852212154e+00 1.285573389853922111e+00 -4.561975510419192688e+03 0.000000000000000000e+00
3.041715095288070603e-01 6.958284904711928842e-01 -5.557195091975818402e-01 3.426985556342106332e+00 1.692585037825470762e+00 1.469276315838454305e+00 -4.561972459456801516e+03 0.000000000000000000e+00
6.422475508093204999e-01 3.577524491906795556e-01 3.506526040693287882e+00 -2.272359272270226549e-01 1.351723988688566802e+00 2.074085943889001360e+00 -4.561966133642945351e+03 0.000000000000000000e+00
7.256120587784061771e-01 2.743879412215938784e-01 3.488435114112671709e+00 -3.639176607526327101e-01 1.470296988953998074e+00 2.093168278305746810e+00 -4.561893037209854810e+03 0.000000000000000000e+00
3.622297023479953970e-01 6.377702976520046585e-01 2.321737181777163150e-01 3.620674211221975192e+00 2.538770682698141545e+00 1.320870383517146029e+00 -4.561855892445398240e+03 0.000000000000000000e+00
2.654693806730665240e-01 7.345306193269334205e-01 -2.763835780218378280e-01 3.491384964994665996e+00 1.832489512795758113e+00 1.388119262462264025e+00 -4.561853719363610253e+03 0.000000000000000000e+00
3.016747796779929436e-01 6.983252203220070564e-01 -3.608477578742848579e-01 3.510647573548485667e+00 1.882383968810436237e+00 1.573161565092459968e+00 -4.561765839081987906e+03 0.000000000000000000e+00
6.769662805926608407e-01 3.230337194073392704e-01 3.566047652862070816e+00 -4.776512084397804836e-01 1.429461229177333648e+00 1.939256969699621136e+00 -4.561762659396788877e+03 0.000000000000000000e+00
6.712429305805522883e-01 3.287570694194477117e-01 3.516223383565910243e+00 -3.166375188146446362e-01 1.425405002045141423e+00 1.715709014669544175e+00 -4.561749916064997706e+03 0.000000000000000000e+00
3.150116005453166279e-01 6.849883994546833721e-01 -2.946010451921920459e-01 3.639598492039188393e+00 1.948816088794800727e+00 1.454208470749540405e+00 -4.561748855738933344e+03 0.000000000000000000e+00
2.782970146251113608e-01 7.217029853748886392e-01 -6.253910379440448253e-01 3.385059135479414838e+00 1.704325327502585141e+00 1.505514942186378491e+00 -4.561717507932549779e+03 0.000000000000000000e+00
3.352558810809856404e-01 6.647441189190144151e-01 -2.437022817919949902e-01 3.493532389504927949e+00 2.234872995214254310e+00 1.430236853129681851e+00 -4.561671761068810156e+03 0.000000000000000000e+00
2.904987552956835861e-01 7.095012447043164139e-01 -3.241983662248256182e-01 3.564634161433883897e+00 2.154660158789991176e+00 1.400475830791830800e+00 -4.561671203809568397e+03 0.000000000000000000e+00
2.553884391015981414e-01 7.446115608984018586e-01 -5.669048961566541811e-01 3.374192425701865616e+00 1.737378681094081001e+00 1.540215059705554168e+00 -4.561625216466318307e+03 0.000000000000000000e+00
2.745927965053415187e-01 7.254072034946584813e-01 -2.055298909546180997e-01 3.543197898507798982e+00 1.935530524133423746e+00 1.498503963814821649e+00 -4.561603928726321101e+03 0.000000000000000000e+00
2.894206245475892669e-01 7.105793754524106776e-01 -4.883862012662408270e-01 3.378023802117015251e+00 1.852513919544664489e+00 1.536204286042500256e+00 -4.561603444739653241e+03 0.000000000000000000e+00
7.419871907590182003e-01 2.580128092409818552e-01 3.395767838527012028e+00 -4.971212314634436691e-01 1.508980214815217380e+00 1.854497975506934404e+00 -4.561536591878989384e+03 0.000000000000000000e+00
