# w_1 mu_1 mu_2 sigma_1 sigma_2 logL logPrior
2.583542801856619220e-01 -2.060211534457997429e-01 3.516726263430260069e+00 1.375096424898657244e+00 1.066887331956887897e+00 -3.896792820945765015e+03 0.000000000000000000e+00
3.237650782847107389e-01 -2.624709338973276740e-01 3.429191638105041129e+00 1.325867726543845881e+00 9.513391749434166877e-01 -3.895835099727613851e+03 0.000000000000000000e+00
3.204403443205522950e-01 -1.426707724400924637e-01 3.569567678506444075e+00 1.251136913416257990e+00 9.225103067102504717e-01 -3.895509462759839607e+03 0.000000000000000000e+00
2.949181159701725896e-01 -1.171026606417346627e-01 3.623776564224061136e+00 1.553900884629750623e+00 9.447967226495931348e-01 -3.894569060812389580e+03 0.000000000000000000e+00
3.075349746409002383e-01 -2.780192412693649473e-01 3.480663894947499504e+00 1.169218110555668266e+00 9.972617726325029297e-01 -3.894417070280294865e+03 0.000000000000000000e+00
2.763264939229622685e-01 -3.352813999182061577e-01 3.562101047083634064e+00 1.190918407104464505e+00 9.923237022976486577e-01 -3.894296745420272600e+03 0.000000000000000000e+00
3.175419192094146581e-01 -9.930833082994044991e-02 3.694711485874666579e+00 1.508635872994976701e+00 9.466990926141540807e-01 -3.894070576672880179e+03 0.000000000000000000e+00
3.065604232229242609e-01 -3.320874384875701635e-01 3.602327565023073497e+00 1.221601671545451850e+00 9.687959217861077388e-01 -3.893925671731564307e+03 0.000000000000000000e+00
3.275486788831084017e-01 3.591102941709902602e-02 3.586279053519906057e+00 1.325130560447447481e+00 9.509498435549426087e-01 -3.893866018265952789e+03 0.000000000000000000e+00
3.315715176823565979e-01 6.284334171959883586e-02 3.667434985597944674e+00 1.451604076236311824e+00 1.007956977388422493e+00 -3.893796265954526461e+03 0.000000000000000000e+00
3.387350357091615805e-01 1.928319943037536122e-01 3.543509222783487900e+00 1.554721265055140744e+00 1.011274619410112985e+00 -3.893734730225104158e+03 0.000000000000000000e+00
3.284815074120543410e-01 -1.193723625429582158e-01 3.489003123020456787e+00 1.594119995347013097e+00 1.055698890232921849e+00 -3.893606442750772658e+03 0.000000000000000000e+00
2.952526079061419950e-01 -3.147781967816167259e-01 3.460357817963441995e+00 1.493102416080975825e+00 9.668997068799771721e-01 -3.893403001833537473e+03 0.000000000000000000e+00
