# w_1 mu_1 mu_2 sigma_1 sigma_2 logL logPrior
3.423859438729496274e-01 -1.943128254143390576e-01 3.539956676112389733e+00 1.691736195040256518e+00 1.017080474582941152e+00 -3.896057481277642182e+03 0.000000000000000000e+00
3.354965468762608483e-01 -1.235767040418352114e-02 3.510854413919015204e+00 1.513922884773501565e+00 1.076860906039122545e+00 -3.895323939035581134e+03 0.000000000000000000e+00
2.598557721580435076e-01 -6.002902411800915550e-01 3.507017674587323164e+00 1.241284562303796690e+00 1.010051672925477373e+00 -3.895318427434915520e+03 0.000000000000000000e+00
3.675112377686348686e-01 3.408534389183254243e-02 3.592045291967637777e+00 1.789337080785959433e+00 9.702105125316289325e-01 -3.894571228832277029e+03 0.000000000000000000e+00
2.796109006289342336e-01 -6.044232795302948436e-01 3.381112988311649303e+00 1.120052419867947346e+00 1.103304685805735597e+00 -3.894501400797984843e+03 0.000000000000000000e+00
2.472746917766446006e-01 -4.121521183506000607e-01 3.432121092547683716e+00 1.222917223107338192e+00 1.098356947536246464e+00 -3.894160232633098076e+03 0.000000000000000000e+00
3.604378211095265461e-01 2.002955148491492587e-01 3.655172383103972855e+00 1.776095822852087114e+00 9.872539763267607071e-01 -3.894061248280494056e+03 0.000000000000000000e+00
2.431612084017614195e-01 -4.619690038781093522e-01 3.461333981721416819e+00 1.285004431417416271e+00 1.053261612110393042e+00 -3.894043776438587884e+03 0.000000000000000000e+00
3.931809286276075066e-01 4.264661153011151673e-01 3.630270369622293103e+00 1.844639257520567899e+00 9.019464911020429465e-01 -3.893947889546413535e+03 0.000000000000000000e+00
3.242972003213859811e-01 -2.014302324041644665e-01 3.687638797043216066e+00 1.496241536805650973e+00 9.695258736525983467e-01 -3.893941565559628998e+03 0.000000000000000000e+00
4.062677539413170891e-01 2.835436271312516965e-01 3.594252562111894811e+00 1.709432021000942825e+00 9.424616020804705840e-01 -3.893915085590742819e+03 0.000000000000000000e+00
3.372326489906167790e-01 -4.486931597557615448e-02 3.528596170530617915e+00 1.442851517630674429e+00 1.070874905145229539e+00 -3.893909643497375328e+03 0.000000000000000000e+00
2.551232772519910763e-01 -5.550347381424556303e-01 3.395378069077827909e+00 1.106919297573933925e+00 1.088291516852673890e+00 -3.893878920065947568e+03 0.000000000000000000e+00
3.339457598605977684e-01 -8.242586335108918749e-02 3.504803215806000960e+00 1.544963305710538970e+00 1.070852548039234131e+00 -3.893701439466425199e+03 0.000000000000000000e+00
2.541915038306157282e-01 -4.390365138079449503e-01 3.514504236496442946e+00 1.219612913966153123e+00 1.010054701104600605e+00 -3.893661119838501691e+03 0.000000000000000000e+00
3.921930838686236709e-01 2.694088856748532712e-01 3.585360098514932758e+00 1.708674132403549484e+00 9.765368241648857417e-01 -3.893479072318253202e+03 0.000000000000000000e+00
3.575111050151300596e-01 -2.151049189668174655e-01 3.642613908712284410e+00 1.365233246315559645e+00 9.763531017489855968e-01 -3.893415883724546802e+03 0.000000000000000000e+00
2.704994543133992235e-01 -3.686627734900504993e-01 3.583329822012435883e+00 1.388159605862199886e+00 1.023758219030675098e+00 -3.893360032416909235e+03 0.000000000000000000e+00
3.042522815489203669e-01 -5.772845080732178502e-01 3.509153087002824023e+00 1.376284673362834443e+00 1.026545161144754692e+00 -3.893294777700457871e+03 0.000000000000000000e+00
3.693598495973703377e-01 -9.809438377248017038e-02 3.548279103804075074e+00 1.451975567669833378e+00 1.017822325795932237e+00 -3.893148684734579547e+03 0.000000000000000000e+00
3.818230078864848775e-01 3.814326365006191072e-02 3.591189648115069133e+00 1.520601656666725754e+00 1.000920944271962210e+00 -3.892958026335515569e+03 0.000000000000000000e+00
3.115055710333016759e-01 -1.144928760888145880e-01 3.570580959580397451e+00 1.610809270772739277e+00 9.272211511758531310e-01 -3.892924054266889016e+03 0.000000000000000000e+00
2.894125764828145431e-01 -4.059508518998561355e-01 3.566702725913165395e+00 1.182457187971101886e+00 1.009831253363406178e+00 -3.892894120982634377e+03 0.000000000000000000e+00
3.762540045908219222e-01 1.992928489445192630e-01 3.685315981491497084e+00 1.612928357129205015e+00 8.611414277195027500e-01 -3.892794845712568531e+03 0.000000000000000000e+00
3.186886177877150117e-01 -4.761679025141220267e-02 3.534774761752486949e+00 1.644826145872851253e+00 1.033471566436566125e+00 -3.892746201666807792e+03 0.000000000000000000e+00
3.279062533502938859e-01 -1.849214676096587184e-01 3.583230928301480489e+00 1.321010940621594631e+00 9.051779345708784730e-01 -3.892495999874013251e+03 0.000000000000000000e+00
3.268935745440653684e-01 -3.604289629620383573e-01 3.558270913437868721e+00 1.229191975877201859e+00 9.719163358979411305e-01 -3.892471624221498132e+03 0.000000000000000000e+00
2.781930551398701379e-01 -3.720565267969458412e-01 3.375304674462183296e+00 1.284102746688203789e+00 1.031709338844700063e+00 -3.892454966538271037e+03 0.000000000000000000e+00
3.121502562018390048e-01 -1.799770709880877950e-01 3.623538029927339643e+00 1.298689172595568930e+00 1.026016994110112046e+00 -3.892451631060119325e+03 0.000000000000000000e+00
3.274019033029110792e-01 -3.448802322186855784e-01 3.490433978114999558e+00 1.353452453918432719e+00 1.085590489287694416e+00 -3.892422281165841468e+03 0.000000000000000000e+00
3.347453371177999681e-01 -1.804479088895864503e-01 3.527048594075771426e+00 1.635652120917666430e+00 9.554258254194614164e-01 -3.892382581008091620e+03 0.000000000000000000e+00
2.699947846114573169e-01 -5.332861327116084071e-01 3.510172860419176200e+00 1.157988190632988079e+00 1.067234184173803779e+00 -3.892304360156006169e+03 0.000000000000000000e+00
3.286937889038286098e-01 -1.410112615470520414e-01 3.554772689843454181e+00 1.314599711287131045e+00 9.129471447427415232e-01 -3.892170055979354856e+03 0.000000000000000000e+00
2.814600604651295579e-01 -3.830993683792556781e-01 3.399233298365202494e+00 1.410300334824713397e+00 1.049141732415941553e+00 -3.892129966960124875e+03 0.000000000000000000e+00
3.613852586383174970e-01 7.975298190915809660e-02 3.603970995468811722e+00 1.770606434733433820e+00 9.504026199223518656e-01 -3.892086982786044246e+03 0.000000000000000000e+00
3.851367740631617131e-01 -2.560949939126866415e-02 3.627919849777255124e+00 1.571797783924654413e+00 9.020282452129283479e-01 -3.892070827881414061e+03 0.000000000000000000e+00
2.896898376718316515e-01 -4.916534775220867126e-01 3.549013089864783588e+00 1.403334340748464193e+00 9.911696736982562594e-01 -3.892070724780598539e+03 0.000000000000000000e+00
3.292601371574502833e-01 -3.695931983571751900e-01 3.542642907154922138e+00 1.386790905315434141e+00 9.304899455265394081e-01 -3.891990680253524715e+03 0.000000000000000000e+00
3.609849161741290891e-01 -2.730632695411206456e-01 3.598449537846100110e+00 1.436558796309639785e+00 9.657445026197946092e-01 -3.891974307638758091e+03 0.000000000000000000e+00
2.718449175845875088e-01 -3.647203971145232537e-01 3.426658695813507016e+00 1.293626672163557645e+00 1.113549329328435755e+00 -3.891956652406092871e+03 0.000000000000000000e+00
4.030419283521781693e-01 3.409396552039346551e-01 3.634530709088871880e+00 1.704050914469464217e+00 8.970585531192625250e-01 -3.891951039029750063e+03 0.000000000000000000e+00
3.335662021709239755e-01 -4.175989342621141964e-01 3.484655989184372693e+00 1.422946439232739335e+00 9.970013781818067855e-01 -3.891913614979113845e+03 0.000000000000000000e+00
3.056604106865845050e-01 -5.591222174153948066e-01 3.442626579215745330e+00 1.284064017773203448e+00 1.014297950631003031e+00 -3.891889236807840462e+03 0.000000000000000000e+00
3.752319270845425048e-01 3.174886853016157806e-01 3.634498197593058588e+00 1.797372819237686548e+00 9.363508568211217353e-01 -3.891727688459927776e+03 0.000000000000000000e+00
3.204948763794632782e-01 -2.047093081506621282e-01 3.550784261665737684e+00 1.316577244715880557e+00 1.072364268971588208e+00 -3.891725432549851575e+03 0.000000000000000000e+00
2.717713460747719911e-01 -3.536846143524867148e-01 3.566076202292931985e+00 1.394832478922677144e+00 9.990508052255896443e-01 -3.891717578908482210e+03 0.000000000000000000e+00
3.028427464719780637e-01 -4.257621267928254905e-01 3.529680348517195032e+00 1.504173984245807727e+00 1.004341160125177490e+00 -3.891707146362118237e+03 0.000000000000000000e+00
3.110584099787410128e-01 2.635529716059795136e-02 3.499245081081364006e+00 1.437846033523181966e+00 1.007674519436220217e+00 -3.891698055220653714e+03 0.000000000000000000e+00
3.011280233776071347e-01 -1.228551696041541297e-01 3.486524812090024295e+00 1.347716033009625169e+00 1.065868522621174597e+00 -3.891697776962098942e+03 0.000000000000000000e+00
3.065136162706833534e-01 -2.309977389645426760e-01 3.459736793866134530e+00 1.473804327268774417e+00 1.079144198255085341e+00 -3.891654492748723442e+03 0.000000000000000000e+00
2.931557887727997969e-01 -2.960948223281740233e-01 3.604742391346635877e+00 1.404264685408323166e+00 9.443769798973440377e-01 -3.891654047115910544e+03 0.000000000000000000e+00
3.509876642711574624e-01 2.027304640315852891e-01 3.570038779716973920e+00 1.511417456072638332e+00 9.735966074425725925e-01 -3.891644852247438394e+03 0.000000000000000000e+00
3.216566206212689849e-01 -6.461259364798252469e-02 3.654051239032127807e+00 1.461422292274850543e+00 9.051496076141447578e-01 -3.891394492084170452e+03 0.000000000000000000e+00
3.058756971296813787e-01 -2.459528353646210364e-01 3.479087112361110901e+00 1.328992733682872629e+00 1.095864031248031889e+00 -3.891394393991544348e+03 0.000000000000000000e+00
3.725612156022192756e-01 -4.731331996397181161e-02 3.605838716267311561e+00 1.460922598958307894e+00 9.964641292403428885e-01 -3.891388702645468584e+03 0.000000000000000000e+00
3.442961778934678918e-01 -6.741854622727205815e-02 3.611711231872684724e+00 1.418477423063902343e+00 8.876649879624761708e-01 -3.891364572269978453e+03 0.000000000000000000e+00
3.507494221399933276e-01 -1.050220943763813669e-01 3.681722170242278658e+00 1.541260282454498309e+00 9.764583869096342683e-01 -3.891328106118775850e+03 0.000000000000000000e+00
3.482081436870729796e-01 8.749143093649776326e-02 3.544291853976571094e+00 1.503452560950500061e+00 1.020326205341258730e+00 -3.891325299838062620e+03 0.000000000000000000e+00
2.537394210207730150e-01 -5.122937585905197322e-01 3.398751912761666549e+00 1.186423015628591093e+00 1.080980482922612174e+00 -3.891319588553270933e+03 0.000000000000000000e+00
3.950625873884403005e-01 3.394505189721560567e-01 3.673491667945940176e+00 1.744415913138327667e+00 9.470735721584102595e-01 -3.891282956666586870e+03 0.000000000000000000e+00
3.011031743161378671e-01 -2.453657933034226746e-01 3.465116951708242521e+00 1.330461615251705698e+00 1.095158510867256130e+00 -3.891280212509244848e+03 0.000000000000000000e+00
3.462921135215988322e-01 -6.778226075150098340e-02 3.658271476714924031e+00 1.655143020074423266e+00 9.358416691389359610e-01 -3.891271446893516440e+03 0.000000000000000000e+00
3.659715984151197254e-01 1.149140767219133941e-02 3.641106682389827043e+00 1.399634649852055546e+00 9.465710609693989142e-01 -3.891244029818255058e+03 0.000000000000000000e+00
2.996539797508849245e-01 -2.109259779581105498e-01 3.633246164631409147e+00 1.471014606878212616e+00 9.581541588858845104e-01 -3.891241672076861960e+03 0.000000000000000000e+00
3.796131723714904482e-01 2.936080927777420246e-01 3.618949740220385181e+00 1.772345166134283501e+00 9.518712280822817506e-01 -3.891236232285348251e+03 0.000000000000000000e+00
2.784944758881270910e-01 -6.348847506462560464e-01 3.428927195074544354e+00 1.191789984524711965e+00 1.077478618202966310e+00 -3.891221897836197058e+03 0.000000000000000000e+00
3.410169379408081181e-01 -3.593118725078696118e-01 3.536937814987987760e+00 1.301370203329942132e+00 9.746359877408147243e-01 -3.891184717856240241e+03 0.000000000000000000e+00
3.075171915254489852e-01 -4.379008222252144256e-01 3.597148628254208891e+00 1.327004034503433072e+00 9.921958836859573472e-01 -3.891179114627794661e+03 0.000000000000000000e+00
3.292602594040738850e-01 -1.891820160500391479e-01 3.660330931937774146e+00 1.401737898221238066e+00 1.002538994147592621e+00 -3.891146087273443300e+03 0.000000000000000000e+00
2.875527514816597630e-01 -1.354949123533577271e-01 3.458639236173422393e+00 1.352051432326947467e+00 1.023431367799132685e+00 -3.891137840172661072e+03 0.000000000000000000e+00
2.954693560137496289e-01 -5.221663043773024926e-01 3.532906151723998356e+00 1.220897589564920116e+00 1.058134896016601045e+00 -3.891136568249104585e+03 0.000000000000000000e+00
3.758948208238142019e-01 -2.897740698133195736e-02 3.576404875545938111e+00 1.586763151698898033e+00 9.169705016725651081e-01 -3.891133570657229029e+03 0.000000000000000000e+00
3.811114247280682488e-01 3.829657591562058983e-01 3.681441697643910160e+00 1.692263305132584827e+00 9.087808304940785398e-01 -3.891120779915911953e+03 0.000000000000000000e+00
3.428264376322618379e-01 1.109491814120965730e-02 3.683508960097093166e+00 1.639921458505785079e+00 9.444853072914876080e-01 -3.891101450903087425e+03 0.000000000000000000e+00
3.457976059728883333e-01 -1.311576707702524491e-01 3.569483226680565391e+00 1.310075064130888256e+00 9.409078460485732487e-01 -3.891060023947051832e+03 0.000000000000000000e+00
3.222769086194840482e-01 -4.232872628263526504e-01 3.579915718915030354e+00 1.372500501666393591e+00 1.030280843100947807e+00 -3.891046607677371867e+03 0.000000000000000000e+00
3.561852944546781696e-01 -6.859499523941579857e-02 3.659252341552177157e+00 1.648589811684686435e+00 9.311396473637458815e-01 -3.891039672873982454e+03 0.000000000000000000e+00
2.991980009478676372e-01 -2.106998233836345491e-01 3.427937621400887203e+00 1.408126923715416812e+00 1.061268009815385938e+00 -3.891019078904923390e+03 0.000000000000000000e+00
3.292672939707681490e-01 -4.340294548010175668e-01 3.539562602106770317e+00 1.332134384336312038e+00 1.037149859624386439e+00 -3.891015243038494191e+03 0.000000000000000000e+00
3.195719609858918009e-01 2.865695405564712417e-02 3.529687244781197553e+00 1.553294695425179839e+00 9.346420911904769202e-01 -3.891007698561767029e+03 0.000000000000000000e+00
3.202712341963045994e-01 -3.920180707765036354e-02 3.469003800236980517e+00 1.469572040659071988e+00 9.766987268974853809e-01 -3.890985969783750988e+03 0.000000000000000000e+00
3.258629685324060388e-01 -3.107781977840979870e-01 3.494404077632045968e+00 1.540556291754918039e+00 1.015044847259726879e+00 -3.890891166833217085e+03 0.000000000000000000e+00
3.017346915535022434e-01 -2.798848286265062657e-01 3.507396651652834763e+00 1.352624450561998204e+00 1.099962616847429242e+00 -3.890872301182824231e+03 0.000000000000000000e+00
3.085019262243273164e-01 -4.120287323308940430e-01 3.598796265021150020e+00 1.387412165232809080e+00 1.023243100345766932e+00 -3.890867806192079570e+03 0.000000000000000000e+00
3.513175784527901024e-01 -3.989507917080588328e-02 3.639830960428473094e+00 1.362825119754609071e+00 9.412417626262510328e-01 -3.890833913636444322e+03 0.000000000000000000e+00
3.362609888217886200e-01 -2.690182976106891832e-01 3.575738216694738458e+00 1.548919023950026563e+00 1.021534648347697471e+00 -3.890830883906194686e+03 0.000000000000000000e+00
3.201241463704710410e-01 -2.658419701767078536e-02 3.494978273975780425e+00 1.588271699672533455e+00 1.004984497852704273e+00 -3.890826238957363785e+03 0.000000000000000000e+00
3.451845403771408027e-01 1.817959085317599754e-01 3.573001408932187761e+00 1.697791330700782364e+00 9.574986946345186434e-01 -3.890812357507576962e+03 0.000000000000000000e+00
3.699656023069735067e-01 7.674037292537083665e-02 3.543708876591552315e+00 1.640865822322719936e+00 9.592900969964892610e-01 -3.890751741703244988e+03 0.000000000000000000e+00
4.021224616158390885e-01 2.136833706310060643e-01 3.658084231752785076e+00 1.686932114776815927e+00 9.258133045568348596e-01 -3.890742663331534004e+03 0.000000000000000000e+00
3.100936831401353011e-01 -2.869268902068186633e-01 3.603618348937727589e+00 1.476040126117656781e+00 1.039180166672331707e+00 -3.890709129208195009e+03 0.000000000000000000e+00
3.510705013963695831e-01 -1.629746088598202358e-01 3.555332640681107659e+00 1.389869263548788370e+00 9.163096476286605174e-01 -3.890708346840355262e+03 0.000000000000000000e+00
3.405563420154231191e-01 2.254335256529799852e-02 3.622181334858595836e+00 1.446031932418031962e+00 1.019778145670334313e+00 -3.890679322775231412e+03 0.000000000000000000e+00
2.832700306636148913e-01 -4.406599332176331374e-01 3.435176669094259339e+00 1.397331455009802159e+00 1.082920117980076480e+00 -3.890664698953748484e+03 0.000000000000000000e+00
3.156250908774826947e-01 -2.048396983834690488e-01 3.482049075753473666e+00 1.490294178228674049e+00 1.068760019084475932e+00 -3.890655289725254079e+03 0.000000000000000000e+00
2.819168981980350597e-01 -1.398414873836149874e-01 3.520704287408193078e+00 1.348314505748712033e+00 9.756706260908742934e-01 -3.890639441260344938e+03 0.000000000000000000e+00
3.061415423708417349e-01 -6.252424436148748543e-02 3.566223048523555317e+00 1.390815755672937915e+00 1.043581947810598320e+00 -3.890632967737008585e+03 0.000000000000000000e+00
3.588218863901332378e-01 1.346064207220123710e-01 3.593440696100110188e+00 1.608640146992065478e+00 8.915729356651099780e-01 -3.890600479943052505e+03 0.000000000000000000e+00
2.943793708602053805e-01 -1.646567828203762685e-01 3.604382560430207327e+00 1.487169329706592213e+00 1.017287045284580138e+00 -3.890598710963116901e+03 0.000000000000000000e+00
2.998317986230911170e-01 -3.889841493923599236e-01 3.487182820447926268e+00 1.167177273973337925e+00 1.033077767360390142e+00 -3.890591828543776501e+03 0.000000000000000000e+00
