# w_1 mu_1 mu_2 sigma_1 sigma_2 logL logPrior
3.488655873382731087e-01 1.630738546992672733e-01 3.509333982727501855e+00 1.499716407933671336e+00 9.977893199613706576e-01 -3.887754991763467387e+03 0.000000000000000000e+00
3.671680532218539739e-01 -1.493796938223489468e-01 3.515963051770027104e+00 1.457590335382292768e+00 9.675152801625787058e-01 -3.887719009671486674e+03 0.000000000000000000e+00
3.074168365359130628e-01 -5.545999558566208631e-02 3.533548177828160330e+00 1.606773732313648395e+00 1.037224034967641817e+00 -3.887293523409095542e+03 0.000000000000000000e+00
3.427019490130081003e-01 2.413193463983193399e-01 3.570177609998997692e+00 1.493608229457264125e+00 8.986439764290039545e-01 -3.886457057218516638e+03 0.000000000000000000e+00
3.056581553325991574e-01 1.677636979002655043e-02 3.523888759089674139e+00 1.266243405281531675e+00 9.965917597235888215e-01 -3.886449801514480896e+03 0.000000000000000000e+00
3.010843909979706856e-01 -3.847169834013681733e-01 3.642013295555687868e+00 1.261488780818701194e+00 9.861657473014583397e-01 -3.886171240175776802e+03 0.000000000000000000e+00
3.441225963387490872e-01 -2.284072636695934078e-01 3.564528689443964282e+00 1.343776719734361524e+00 1.044027554167363592e+00 -3.885978596032388850e+03 0.000000000000000000e+00
3.263205086974825808e-01 -3.820825315006779466e-01 3.528913517793197840e+00 1.174146668413405870e+00 9.574918881692607853e-01 -3.885844256050401782e+03 0.000000000000000000e+00
2.710967744398561363e-01 -9.439095165468450177e-02 3.554116389838600121e+00 1.328829716612425438e+00 1.030892537829608324e+00 -3.885676973101722979e+03 0.000000000000000000e+00
2.466443384588133114e-01 -6.106145043609320089e-01 3.392883313721425598e+00 1.213706049104801066e+00 1.068604267884887493e+00 -3.885616244294280477e+03 0.000000000000000000e+00
3.546020872895053189e-01 -3.072091545583723049e-03 3.675900628688566929e+00 1.645616180145697438e+00 8.952281810732597433e-01 -3.885488472768703105e+03 0.000000000000000000e+00
2.729135305698703884e-01 -3.628160565380321168e-01 3.575805557906425847e+00 1.353049709304762427e+00 1.059210194507312686e+00 -3.885273997062567105e+03 0.000000000000000000e+00
3.940739891248265514e-01 1.395663591050980146e-01 3.626897291568126569e+00 1.645777799922206075e+00 9.176904064562159125e-01 -3.885208517098203174e+03 0.000000000000000000e+00
2.970326987835917865e-01 -3.109596965022818349e-01 3.438518362996417999e+00 1.158960100247051539e+00 1.076444950226721042e+00 -3.884997836378375723e+03 0.000000000000000000e+00
2.910443125042968537e-01 -3.017676797550796208e-01 3.531155716135688571e+00 1.336226258532937861e+00 1.097399626044193166e+00 -3.884788587753556385e+03 0.000000000000000000e+00
3.810703977828841515e-01 3.257296465221213300e-01 3.680776733545939816e+00 1.706063448415546357e+00 9.521278377240000035e-01 -3.884761133041284211e+03 0.000000000000000000e+00
3.416295056861858859e-01 1.491761916693448431e-01 3.547867167383300213e+00 1.397703571631497832e+00 9.487765444361002665e-01 -3.884663951083723987e+03 0.000000000000000000e+00
3.033107692103275688e-01 -6.197521770465369562e-02 3.515898208451371687e+00 1.251847184555203718e+00 1.026356943813724332e+00 -3.884539316384674294e+03 0.000000000000000000e+00
2.721620582956354450e-01 -8.510485254623034734e-02 3.550275027912022097e+00 1.396139710517341204e+00 9.721332734261876052e-01 -3.884521826860296187e+03 0.000000000000000000e+00
3.119127830939263935e-01 -4.147166264933957458e-01 3.598216936168567415e+00 1.389975177882202484e+00 1.005036079855337716e+00 -3.884472906425821748e+03 0.000000000000000000e+00
2.944318795985838011e-01 -2.876962639152794710e-01 3.492892247144260942e+00 1.237526778959170848e+00 9.208028863486461546e-01 -3.884448772880712568e+03 0.000000000000000000e+00
3.369712392499987219e-01 2.133873014968595827e-02 3.593324964104642749e+00 1.652165625891618417e+00 9.988508208746829098e-01 -3.884333359336673766e+03 0.000000000000000000e+00
3.847051057866755497e-01 3.199071339661317404e-01 3.704087343025810775e+00 1.570425595495434035e+00 9.232140422091572596e-01 -3.884317680960768485e+03 0.000000000000000000e+00
2.632192972599607383e-01 -5.482288850485819154e-01 3.367712319199822169e+00 1.120638600334752821e+00 1.090018020404102339e+00 -3.884276914177017261e+03 0.000000000000000000e+00
2.709102854832421414e-01 -6.213922352806049432e-01 3.462096778432127042e+00 1.164648065511506125e+00 1.092594336509423947e+00 -3.884268020260408775e+03 0.000000000000000000e+00
3.052902606268500518e-01 -9.688422573037899777e-02 3.671522248835470403e+00 1.351262111957364453e+00 9.786890078929849635e-01 -3.884117946515625590e+03 0.000000000000000000e+00
2.879205344921920706e-01 -3.567323768406345796e-01 3.524991888585370159e+00 1.417607356072471347e+00 1.068775176575996744e+00 -3.884057574149168431e+03 0.000000000000000000e+00
3.358517190769267358e-01 -2.625396649423512030e-01 3.596661597225610851e+00 1.459609095006467960e+00 1.016014409485949788e+00 -3.883917528424307420e+03 0.000000000000000000e+00
3.482179333950528033e-01 -2.806815665718231934e-01 3.551200514665051600e+00 1.301538702343971954e+00 9.857327801460044059e-01 -3.883836613568955727e+03 0.000000000000000000e+00
2.996069557903284220e-01 -9.375321164829428233e-02 3.553239525236906893e+00 1.563238977564976206e+00 9.488810970355791019e-01 -3.883823169496742594e+03 0.000000000000000000e+00
3.681031474542061921e-01 2.335846966987948636e-01 3.597382520312065513e+00 1.589804676715831810e+00 9.761857502884023763e-01 -3.883809623890058901e+03 0.000000000000000000e+00
3.398911307710195118e-01 2.733378878259005718e-01 3.628472501581689436e+00 1.524907521039875924e+00 9.078157431527666965e-01 -3.883795014639803412e+03 0.000000000000000000e+00
2.637258482741635102e-01 -4.234672188426630846e-01 3.415150062119777896e+00 1.327907512079583574e+00 1.062067952225884238e+00 -3.883784478287314414e+03 0.000000000000000000e+00
3.043478941242591107e-01 -1.785997325616538733e-01 3.567348490377550974e+00 1.536009404384755195e+00 9.276608386910039084e-01 -3.883780331296246004e+03 0.000000000000000000e+00
2.834067154962677804e-01 -1.221753216265797498e-01 3.576868235675470409e+00 1.238558130463405460e+00 9.502457245677744524e-01 -3.883766685165627223e+03 0.000000000000000000e+00
2.885684623778241309e-01 -4.175242083328005727e-01 3.420794946529802871e+00 1.108550749596392215e+00 1.063280630847960095e+00 -3.883764907676890289e+03 0.000000000000000000e+00
2.904753321487200668e-01 -4.615047744524740647e-01 3.583295727801405040e+00 1.332320158331017579e+00 9.801510478123339754e-01 -3.883743839159039908e+03 0.000000000000000000e+00
3.645013518714332323e-01 1.350890106223917031e-01 3.630795885961448644e+00 1.717658396172315971e+00 9.404100557493605406e-01 -3.883731059127792378e+03 0.000000000000000000e+00
2.696177433240874444e-01 -4.143730144042179764e-01 3.526515156234608206e+00 1.399451172689772926e+00 1.014729592117374013e+00 -3.883726179996931933e+03 0.000000000000000000e+00
2.689260534551473070e-01 -5.652846319481399373e-01 3.443266430593077576e+00 1.108027697680198820e+00 1.102612323887988133e+00 -3.883700594319491756e+03 0.000000000000000000e+00
3.001957073292709777e-01 -4.438718765672486355e-01 3.474022629453391353e+00 1.109134932867176904e+00 1.049293515116712205e+00 -3.883682374396190426e+03 0.000000000000000000e+00
2.954693140120410177e-01 -1.223720626430520597e-01 3.542484013869735548e+00 1.205712094526162126e+00 1.018068697486820051e+00 -3.883677387553563676e+03 0.000000000000000000e+00
2.764523218426881424e-01 -5.680547125965739186e-01 3.427641461597603190e+00 1.288877355652150003e+00 1.050056984782670177e+00 -3.883625507792835833e+03 0.000000000000000000e+00
3.372927287861660628e-01 -1.687585064377684074e-01 3.669010676578971175e+00 1.481922846453673115e+00 9.199005158727010523e-01 -3.883581722397610974e+03 0.000000000000000000e+00
3.645058661344862672e-01 2.788280161344185437e-01 3.669740534280775179e+00 1.710636086414992096e+00 8.970692499817048970e-01 -3.883557228906498949e+03 0.000000000000000000e+00
3.050940004660279148e-01 -4.860479825260664022e-01 3.476066152109595908e+00 1.219252019110661056e+00 1.072571954820755291e+00 -3.883551286798021920e+03 0.000000000000000000e+00
2.722326351677100131e-01 -5.029484515999618210e-01 3.469405047780644846e+00 1.347142166372364835e+00 1.061326205833918790e+00 -3.883549194811397683e+03 0.000000000000000000e+00
2.768015963371499577e-01 -4.448706868539199499e-01 3.382664363321715051e+00 1.190859703737876307e+00 1.087036736194050945e+00 -3.883542444263900506e+03 0.000000000000000000e+00
