# w_1 mu_1 mu_2 sigma_1 sigma_2 logL logPrior
3.328490106774992796e-01 -4.318256145806399493e-01 3.578372839661458471e+00 1.250319058634995040e+00 1.024961834888923784e+00 -3.888350381179033320e+03 0.000000000000000000e+00
4.240059942996826092e-01 3.218109200124929514e-01 3.702239945410379374e+00 1.669603988828689989e+00 8.937979426295912244e-01 -3.888349264537273484e+03 0.000000000000000000e+00
3.149735293059182650e-01 -1.742495122750159775e-01 3.578712697830300549e+00 1.137978783731109722e+00 9.859306469586567312e-01 -3.888098379153013411e+03 0.000000000000000000e+00
3.189025893688855473e-01 -2.947452438102788896e-01 3.654385548384479598e+00 1.285415035580891541e+00 9.271412874627271705e-01 -3.886264506237261230e+03 0.000000000000000000e+00
3.681632537590106002e-01 2.089025726461591348e-01 3.611152267702489649e+00 1.767927988140604478e+00 9.551283179554996838e-01 -3.885959708442887859e+03 0.000000000000000000e+00
3.345510817829292494e-01 -3.124798480409575197e-01 3.608657744855926275e+00 1.225582409288195063e+00 9.880436598903989953e-01 -3.885749731450563559e+03 0.000000000000000000e+00
2.709185048291571918e-01 -3.242079374753116805e-01 3.401299096340667294e+00 1.361150264503951268e+00 1.020797424023851541e+00 -3.885646534609826176e+03 0.000000000000000000e+00
2.775232483999810484e-01 -4.778669517386996413e-01 3.493146321739860394e+00 1.414949641751324316e+00 1.051265182217429262e+00 -3.885633843766162954e+03 0.000000000000000000e+00
3.722709986875673560e-01 2.645110442875881485e-01 3.611035311471481268e+00 1.764740959399801357e+00 9.444882973772118495e-01 -3.885416441696405855e+03 0.000000000000000000e+00
3.556602074647421396e-01 -4.535106197327585381e-03 3.518852482632561340e+00 1.590849092275480103e+00 9.571896500975091149e-01 -3.885323479200081692e+03 0.000000000000000000e+00
2.807017197052228408e-01 -3.626419091679793372e-01 3.432398182299307710e+00 1.178146786088755560e+00 9.604052908061315730e-01 -3.884956865459935216e+03 0.000000000000000000e+00
3.751363456727985768e-01 8.220099032241638681e-02 3.649922840569314264e+00 1.544388182875916282e+00 8.629012222499014007e-01 -3.884955315982726916e+03 0.000000000000000000e+00
3.567723838754983667e-01 8.165221358309164568e-02 3.560900533527261214e+00 1.382892729050191560e+00 9.814259744019255827e-01 -3.884816297300473707e+03 0.000000000000000000e+00
3.522337665245018901e-01 -3.347111173776987775e-02 3.617877611667314142e+00 1.613480437468830964e+00 1.001032988931101153e+00 -3.884799241263976910e+03 0.000000000000000000e+00
3.461804943939836843e-01 1.449780251824746291e-01 3.633699918435021825e+00 1.711270707669804381e+00 9.666836565504154377e-01 -3.884664589505353433e+03 0.000000000000000000e+00
3.562961617238994960e-01 3.050392760991758045e-01 3.672841035813440680e+00 1.624966184153235238e+00 8.726707708250204254e-01 -3.884648123207346543e+03 0.000000000000000000e+00
3.499313166546879628e-01 1.458058967423667696e-01 3.531188558078290018e+00 1.613352946467994986e+00 9.616301656026767786e-01 -3.884588020842559672e+03 0.000000000000000000e+00
2.994777518882454359e-01 -1.297519340728081616e-01 3.452230574713190059e+00 1.465267137887683369e+00 9.821437789927944806e-01 -3.884572876667228684e+03 0.000000000000000000e+00
2.806119966337158322e-01 -5.006892669318619982e-01 3.539689378085920879e+00 1.367079016878207431e+00 9.929498087332102596e-01 -3.884499185009066423e+03 0.000000000000000000e+00
3.115639464988774199e-01 -4.811851118335372934e-01 3.492381944499419522e+00 1.143315002820955772e+00 1.009034314889558859e+00 -3.884412036275868559e+03 0.000000000000000000e+00
3.460353542299398621e-01 -8.052598801880790635e-02 3.488803671831189668e+00 1.474043874651354447e+00 9.622784916671042188e-01 -3.884361083162616978e+03 0.000000000000000000e+00
3.213893877337195004e-01 1.468634095517381832e-01 3.541349206968098962e+00 1.569581838356896242e+00 9.846174592474585818e-01 -3.884359965536476011e+03 0.000000000000000000e+00
3.132487695118693627e-01 8.975356325545238989e-02 3.633970800062826356e+00 1.379488629129417498e+00 9.068757990731983742e-01 -3.884349713090102341e+03 0.000000000000000000e+00
2.952106310562038205e-01 -1.991645712468921303e-01 3.525882505107645226e+00 1.141287871753105865e+00 9.873987670996953181e-01 -3.884324688083954698e+03 0.000000000000000000e+00
2.870527627497541090e-01 -2.821646886143900912e-01 3.407119505289054828e+00 1.299969166007096888e+00 9.875778684441207655e-01 -3.884305225911904017e+03 0.000000000000000000e+00
