# w_1 w_2 w_3 mu_1 mu_2 mu_3 sigma_1 sigma_2 sigma_3 logL logPrior
2.769110959681753137e-01 1.184620885847202654e-01 6.039334837965341096e-01 -5.490034686904141648e-01 1.563158641258067361e+00 3.634406649028170122e+00 1.240634795847639804e+00 1.797172169265996766e+00 9.607061083472915319e-01 -3.892307646188421586e+03 0.000000000000000000e+00
1.607994116566233145e-02 3.546452097457700181e-01 6.296735247154799930e-01 -5.097136367351197128e-01 2.528884392750302967e-01 3.698569725949499620e+00 8.445279491083816925e-01 1.514268112623442519e+00 9.209623092553653745e-01 -3.892266101922273265e+03 0.000000000000000000e+00
1.519849385387098952e-03 3.468541781510001143e-01 6.524536475183505546e-01 -2.790033221322547607e-01 1.345873453284596732e-01 3.633474249529828448e+00 2.929798412465373758e+00 1.583497329004284415e+00 8.694166395338878139e-01 -3.891719998133687113e+03 0.000000000000000000e+00
3.244945653867436497e-01 3.432412555968302748e-01 3.331207071897163141e-01 -9.347519061700626519e-02 3.150370557248340475e+00 3.877405250860670005e+00 1.511731301520472748e+00 1.027296976632168457e+00 1.006432679160139010e+00 -3.891285482331374624e+03 0.000000000000000000e+00
1.500139136473863932e-01 1.572424217290837589e-01 6.924803910205379331e-01 -1.055306899569731227e+00 5.338613563955445507e-01 3.605927864494612223e+00 1.099267708308853342e+00 1.030479788485439974e+00 1.062402578431514533e+00 -3.891032408003707133e+03 0.000000000000000000e+00
1.483518377872632688e-01 2.988119804623102782e-01 5.536130753858395925e-01 -8.722650721465552426e-01 1.342416236536400742e+00 3.507997334023042146e+00 9.712371679066235108e-01 1.900407037849082048e+00 9.316540810991158494e-01 -3.890869850000378392e+03 0.000000000000000000e+00
1.434131232889889473e-01 1.897338459515482412e-01 6.670252235767070159e-01 -9.853111160525767076e-01 7.175274469849173276e-01 3.508388438655669184e+00 8.840550936448673403e-01 1.847650350436234490e+00 9.955330770715348221e-01 -3.890690290724838633e+03 0.000000000000000000e+00
2.442726928107945561e-01 4.879437515002709724e-01 2.672425951979796599e-01 -5.017353530410512130e-01 3.114626016451041757e+00 3.912551281716421414e+00 1.187898648722498951e+00 1.344204807676653513e+00 7.736762008104013377e-01 -3.890681521259384681e+03 0.000000000000000000e+00
3.753780301110709594e-01 6.049053319986681387e-01 2.016616406845367360e-02 8.390700032485666482e-02 3.672412602209365939e+00 4.137626197954964447e+00 1.499393553500081522e+00 9.597445768754508943e-01 4.886833803002232912e-01 -3.890439633596271960e+03 0.000000000000000000e+00
3.109550859955960422e-02 2.652110491185397656e-01 7.041622292572009556e-01 -1.939292969203238570e+00 1.656809884707107217e-01 3.559826400184508355e+00 7.129506264883475053e-01 1.251588228870070152e+00 1.046610585342556909e+00 -3.890420782789712121e+03 0.000000000000000000e+00
3.510309198249594309e-01 5.675134712763924005e-01 8.192203897590072392e-02 -1.685805294478357474e-01 3.584517092119991144e+00 3.674887211203703430e+00 1.385528429705558784e+00 8.908283306316389094e-01 1.005711526642468767e+00 -3.890400611899281557e+03 0.000000000000000000e+00
2.267021240563657503e-01 1.886097448591851911e-01 5.855524036260515430e-01 -7.919616571789939163e-01 2.123143731139086388e+00 3.758492454942004901e+00 1.040118888963419863e+00 1.492663183566422358e+00 9.360755149053209268e-01 -3.890236536095778320e+03 0.000000000000000000e+00
9.147703477270398287e-02 3.455083096947841326e-01 5.630596278936702559e-01 -7.770499126103843635e-01 7.635131885001709140e-01 3.626339891507583513e+00 1.175505072217559732e+00 1.738109111020486264e+00 9.097983492377493819e-01 -3.890213613135219020e+03 0.000000000000000000e+00
2.807673809618485006e-01 1.641117429306294256e-02 7.035522516293183370e-01 -5.579068663747677181e-01 2.995124818140479483e+00 3.533060833216790098e+00 1.219622481894480748e+00 8.047248673320531731e-01 1.065037678879207084e+00 -3.890170023289867004e+03 0.000000000000000000e+00
1.661332759284306626e-01 1.871213589032756919e-01 6.459402476449315200e-01 -1.209342100601594971e+00 9.757217530248946114e-01 3.621894157199769371e+00 1.026145058391353837e+00 1.195646048349511492e+00 8.605787166053241455e-01 -3.889995210224745279e+03 0.000000000000000000e+00
2.812896491296461576e-01 4.195587425095625989e-02 6.768848791407557908e-01 -2.212833832064689255e-01 2.326128930494537173e+00 3.470312536225204969e+00 1.378414791271629136e+00 1.295277215166724005e+00 1.032581583672628200e+00 -3.889993735913196360e+03 0.000000000000000000e+00
2.003928284216374422e-01 1.298880939802035950e-01 6.701073386650926444e-01 -4.944957613798317553e-01 1.427256678498437958e+00 3.624157948172777921e+00 1.145993600434942250e+00 1.654836369220224812e+00 9.876516752526652843e-01 -3.889947332821288910e+03 0.000000000000000000e+00
2.561585789763666243e-01 2.124265384213263608e-01 5.321005621439167665e-01 -6.790628785767643949e-01 1.955572210788560472e+00 3.592656179755406853e+00 1.271624706543325711e+00 1.585687459827485490e+00 9.528473304760934903e-01 -3.889872423917790002e+03 0.000000000000000000e+00
2.326626838775117112e-01 1.302358491875153512e-01 6.368602200099311439e-01 -6.606757687619366770e-01 2.439528254122360629e+00 3.563308942866288298e+00 1.263942062766964858e+00 1.805406488903021911e+00 9.497079114791859844e-01 -3.889801348303778013e+03 0.000000000000000000e+00
2.866337113780069723e-01 6.565479861385724314e-02 6.486882120110847305e-01 -3.756892511392648792e-01 1.019281669388343081e+00 3.537542268094751474e+00 1.232989301196277143e+00 1.191835783541094651e+00 9.341389880246155908e-01 -3.889745186856217515e+03 0.000000000000000000e+00
3.279994164364822273e-01 4.860820095207081526e-02 6.224174202176941950e-01 7.429111056307725891e-02 1.465798874575866773e+00 3.637277941036447082e+00 1.549975705850089147e+00 2.095228655403740259e+00 9.556793169706957469e-01 -3.889678115719311336e+03 0.000000000000000000e+00
1.355086635442943610e-01 2.262697895434605255e-01 6.390242381026007834e-01 -1.285276763793952171e+00 6.947907289638359796e-01 3.517756793921241076e+00 1.196461874848718354e+00 1.572958315894342096e+00 9.998282691680512313e-01 -3.889648036751291329e+03 0.000000000000000000e+00
2.924427997216706432e-01 2.686878945909773608e-01 4.397588615155193503e-01 -1.145963167139289751e-01 3.228995546262444005e+00 3.568286682209719896e+00 1.357170755618032354e+00 1.289208668725412954e+00 8.226497179024919726e-01 -3.889599658403256853e+03 0.000000000000000000e+00
6.747977173546833643e-03 3.416771164985079046e-01 6.523600819342808554e-01 -8.655673465900550756e-01 -2.518657759528822315e-01 3.561847795408993100e+00 9.959198527638770670e-01 1.399112431366400955e+00 1.036441097703105996e+00 -3.889582707768250202e+03 0.000000000000000000e+00
2.810045824941802550e-01 6.436111504944005413e-01 7.627056058370940139e-02 -2.473890922497360145e-01 3.310071540338956009e+00 4.146486323721264355e+00 1.341945450904863613e+00 1.045844337070252816e+00 8.370278047101415986e-01 -3.889565184057152692e+03 0.000000000000000000e+00
3.241766789033331819e-01 1.538543599075243573e-01 5.218459093214757871e-01 -1.359971532232961411e-01 2.686866694852927839e+00 3.725249006536392127e+00 1.420654975923883789e+00 1.404559115596063501e+00 8.375718155503730777e-01 -3.889563113379481365e+03 0.000000000000000000e+00
