# w_1 w_2 mu_1 mu_2 mu_3 sigma_1 sigma_2 sigma_3 logL logPrior
2.297225440318861611e-01 1.108691892016070990e-01 -5.460237459467495169e-01 1.404285274689181184e+00 3.438721018525242368e+00 1.315334971253565577e+00 2.007423049865158404e+00 1.088009380075454668e+00 -3.893903474854990236e+03 0.000000000000000000e+00
6.494497358978193469e-02 3.221441286493480494e-01 -1.657964859196455309e+00 8.265188723993597275e-01 3.660605337604035725e+00 1.107517593903497355e+00 1.500262013934592575e+00 8.605811637465615727e-01 -3.893334532358222987e+03 0.000000000000000000e+00
3.337902867624168435e-01 6.876855361559067181e-02 1.361786406231473012e-01 9.804708215365632862e-01 3.633542939398140437e+00 1.640071560774531978e+00 1.386588931033125416e+00 9.124139988536075219e-01 -3.892987301891118477e+03 0.000000000000000000e+00
3.772829900785434898e-01 2.842679486675718514e-02 4.149997503261277365e-01 7.614494224975075776e-01 3.700058203308810967e+00 1.700198187928727123e+00 2.398966474640931157e+00 8.950301820362283056e-01 -3.892919632192980771e+03 0.000000000000000000e+00
3.172435184114590356e-01 8.066577750690433549e-03 -1.740533066275747054e-01 1.213318663112649354e+00 3.441276868454876681e+00 1.524311462961680075e+00 3.326299954983186757e-01 9.897563087217112754e-01 -3.892860861891019795e+03 0.000000000000000000e+00
2.267783032629950013e-01 1.508994398193222453e-01 -9.153867808725820732e-01 1.046698475888878876e+00 3.614692654934156923e+00 1.081148690626961839e+00 9.746820938289707525e-01 1.023383131946355107e+00 -3.892637322522474278e+03 0.000000000000000000e+00
3.178612501660699197e-01 6.784378056583573180e-01 -3.028864333535616904e-01 3.584392792773363645e+00 3.810252350448965597e+00 1.558705277439703663e+00 1.009207406697998799e+00 2.991000799879356187e+00 -3.892568243894113948e+03 0.000000000000000000e+00
1.092712177589645964e-02 2.603037096893384139e-01 -1.004724574950006888e+00 -5.409446598636156178e-01 3.413372194197582310e+00 2.834409283868820406e+00 1.236078676432265100e+00 1.050536830016280510e+00 -3.892531673481628332e+03 0.000000000000000000e+00
1.603463028873632068e-01 4.322782872513817320e-01 -1.099386836284047320e+00 2.282548403896258016e+00 3.937563506813380965e+00 1.130052258287729483e+00 1.529843548786014029e+00 7.320457858902797987e-01 -3.892416565096149952e+03 0.000000000000000000e+00
2.852887157297305798e-01 3.313941251982410741e-02 -4.806566170459197762e-01 1.442564705513963874e+00 3.455699691861225276e+00 1.461564082539553278e+00 7.694848358346668693e-01 1.012584641052199252e+00 -3.892193071156459609e+03 0.000000000000000000e+00
2.972631945638374851e-01 6.995929306390156199e-01 -6.687067053801545868e-02 3.506461520283139066e+00 4.258066859517176894e+00 1.536910865055094444e+00 9.609249847849353765e-01 9.931522607122721391e-01 -3.892085327083262655e+03 0.000000000000000000e+00
1.953843256495688963e-01 1.577655124516935958e-01 -5.521143465797658800e-01 5.467858146160036181e-01 3.509360364440066160e+00 1.323414813123386047e+00 2.085923599595153721e+00 9.739298591202852906e-01 -3.891798925575106296e+03 0.000000000000000000e+00
3.405954650960801855e-01 3.823998692675117939e-02 -1.073454451898170348e-02 6.575110042903273833e-01 3.596959337115905431e+00 1.548949843699629847e+00 1.768697131094524533e+00 8.870758975154964254e-01 -3.891763695197657853e+03 0.000000000000000000e+00
3.297959559701997834e-01 6.483982059312348722e-01 -3.069774321355029922e-01 3.470259859957125936e+00 5.007509275041304164e+00 1.349308908137272445e+00 1.019278034544231382e+00 3.642628319750458310e-01 -3.891325967706805386e+03 0.000000000000000000e+00
2.808750128307964111e-01 5.095920574942457426e-01 -1.758231412011951322e-01 3.406148424402602348e+00 3.671106568923440339e+00 1.259664022706129982e+00 1.106353590997761316e+00 8.579694156925843362e-01 -3.891056215529659312e+03 0.000000000000000000e+00
3.246976204291894263e-01 5.170450963938736516e-02 -2.372350294126569781e-01 3.040440446556589293e+00 3.648743621117230163e+00 1.483085534854202026e+00 1.235538866052803053e+00 1.028136303334971524e+00 -3.891002821302565280e+03 0.000000000000000000e+00
2.906279891013591188e-01 4.533391576370927878e-02 -3.718624575888688222e-01 3.620897197887327223e-01 3.604557021057404942e+00 1.335445773425600446e+00 9.078041941052339414e-01 9.876871666617909051e-01 -3.890972708204364608e+03 0.000000000000000000e+00
1.825344906371133002e-01 1.688191668643691523e-01 -4.522576695471624553e-01 2.910471664516443013e-01 3.641529224634143524e+00 1.294421593771378554e+00 1.856560284715263132e+00 1.005905948934918914e+00 -3.890884566022147737e+03 0.000000000000000000e+00
2.970646586570303005e-01 8.051895567471786808e-02 -4.222788593467020068e-01 1.728563296096693236e+00 3.548486372682467582e+00 1.315650273595037945e+00 6.026630132687669228e-01 9.876489638088121747e-01 -3.890877228589776678e+03 0.000000000000000000e+00
3.172188997877010141e-01 5.432582710798551373e-01 -1.738783590996231532e-01 3.287545237128117748e+00 3.984809294461834739e+00 1.303356401290674649e+00 1.094615196984934258e+00 7.249710075260930031e-01 -3.890728742207002142e+03 0.000000000000000000e+00
3.222890725127159350e-01 1.663165993618048177e-01 -2.583007117196463032e-01 2.591373374267918805e+00 3.893177630474481177e+00 1.268832815994839436e+00 7.948057919576959618e-01 9.017858721176531533e-01 -3.890663233963912717e+03 0.000000000000000000e+00
2.681934731672617755e-01 1.214249859697373868e-01 -5.154122375129905897e-01 2.149737200192501696e+00 3.513591380587109292e+00 1.139070592717223329e+00 1.730823143979809853e+00 1.012178406366617267e+00 -3.890495783112824029e+03 0.000000000000000000e+00
2.305871550252657221e-01 5.799608498792535594e-02 -5.930873215391286868e-01 6.290389468822740193e-01 3.532375114603327315e+00 1.281560237717572326e+00 1.867561278136447012e+00 1.067198215241790926e+00 -3.890444895659541544e+03 0.000000000000000000e+00
3.120422945921773050e-01 6.527585433802338688e-01 -4.631227914316668470e-01 3.478067649334719125e+00 3.909685663218468221e+00 1.426729125069454041e+00 1.090956847142092290e+00 1.879465765593197057e-01 -3.890313097722891143e+03 0.000000000000000000e+00
3.370838678490988283e-01 5.091092521164295448e-01 -1.084438617298279228e-01 3.604279872087643888e+00 3.733951650390802790e+00 1.565630709386972352e+00 8.547877439541575750e-01 1.266669045014892081e+00 -3.890113477403659545e+03 0.000000000000000000e+00
8.477995634520217594e-02 2.672501539882892740e-01 -2.005572086499878282e-01 2.636778580106148850e-01 3.613607400764456745e+00 1.112719015173765591e+00 1.845189836435966235e+00 9.750196246574477366e-01 -3.889983263020868435e+03 0.000000000000000000e+00
3.217522962014284782e-01 6.742939710757039906e-01 -5.609492091529195458e-03 3.571862229437357872e+00 3.826298541055410674e+00 1.532853352322184559e+00 1.024794912697789995e+00 2.788417899810483824e+00 -3.889968187912587382e+03 0.000000000000000000e+00
1.998617411278210548e-02 2.915508945601321122e-01 -3.386601366334872076e-01 -2.399365613822394272e-01 3.565141656448615581e+00 2.701225922002197244e+00 1.297437067998658655e+00 9.569714376125603161e-01 -3.889930047148990070e+03 0.000000000000000000e+00
6.465081414005766081e-02 3.568364542674343776e-01 -1.204280191746603279e+00 1.173983484659423482e+00 3.679001071007904855e+00 8.426003579169332180e-01 2.050507894891394400e+00 9.417151836028688772e-01 -3.889885458491553436e+03 0.000000000000000000e+00
1.760832356859253767e-01 2.059175622442492026e-01 -5.469125607749582008e-01 1.171874625392544722e+00 3.506123893105625111e+00 1.349602182847791543e+00 1.902680007831449860e+00 9.383872349273810753e-01 -3.889843148133185878e+03 0.000000000000000000e+00
2.596960990225806176e-01 1.873469031774340279e-02 -3.681017534820494874e-01 2.458926931958278495e+00 3.514343309709963670e+00 1.230895177769256277e+00 1.147571784059232103e+00 1.028986671115808216e+00 -3.889734931387780307e+03 0.000000000000000000e+00
2.710933261787805137e-01 7.160567444801415604e-01 -2.443831629574767239e-01 3.527238121334400844e+00 4.458310751605105260e+00 1.332561493602160807e+00 1.009885412180300701e+00 2.917445957611358165e-01 -3.889717498961240835e+03 0.000000000000000000e+00
2.457344992344819290e-01 6.705994112699752152e-02 -6.699893461377475212e-01 6.685280965128442832e-01 3.438455670670120146e+00 1.271102692170373860e+00 1.262319853765150990e+00 9.904940078488048139e-01 -3.889628753547523047e+03 0.000000000000000000e+00
4.616920886106241385e-03 3.466934555607454338e-01 -5.117409999450270863e-01 -5.143690637789100073e-02 3.535865197135312332e+00 3.765324057333483854e+00 1.500557888117485472e+00 1.004027017145187273e+00 -3.889607333066370302e+03 0.000000000000000000e+00
1.270812152297897679e-01 2.453890866357826273e-01 -2.451391298845642663e-01 5.005652556402623299e-01 3.610113998859119544e+00 1.641272153402253409e+00 1.640244346294398081e+00 9.164463548683069449e-01 -3.889597220934754660e+03 0.000000000000000000e+00
3.276616622069001838e-01 4.623528984537093045e-01 -8.584091005279337327e-02 3.491149517705394167e+00 3.729263628413594489e+00 1.416974447894586930e+00 1.090637525290618859e+00 9.549086150889002367e-01 -3.889551836600690876e+03 0.000000000000000000e+00
3.124704540714236534e-01 3.120079650659413062e-03 -3.868905054273441557e-01 2.902754817671148402e+00 3.490304799951020609e+00 1.252210054511709414e+00 3.703541138416692746e+00 9.806620882064556177e-01 -3.889540118983673892e+03 0.000000000000000000e+00
2.003045015083198543e-01 1.856852361282153030e-01 -7.270939762884665036e-01 2.197850981637890388e+00 3.612205564375984501e+00 1.170113768035790480e+00 1.868644695186808979e+00 9.113051416417125017e-01 -3.889533414111299862e+03 0.000000000000000000e+00
1.509163845017242878e-01 1.424547421373950074e-01 -1.040549827096243440e+00 7.959470433407856982e-01 3.516785627064096253e+00 1.086621114068015759e+00 1.196811806063980077e+00 1.081869153274184869e+00 -3.889298801678029122e+03 0.000000000000000000e+00
3.128960695865796726e-01 1.175208450492302992e-02 -3.958903168402799766e-02 1.885973150482931793e+00 3.554692593838428394e+00 1.542214012541779367e+00 1.369092390780215052e+00 1.027383952736081296e+00 -3.889281769332534168e+03 0.000000000000000000e+00
2.341543445457397732e-01 5.128289605447847732e-01 -6.582005935076924441e-01 3.125111248262230301e+00 3.752973288046747236e+00 1.016068948406315453e+00 1.320466802805084994e+00 7.506053979002286214e-01 -3.889272447072504292e+03 0.000000000000000000e+00
2.898796184691880828e-01 3.160521039574232249e-02 -1.747258977698636917e-01 2.154113472405452256e+00 3.598963586881526400e+00 1.549112882739427821e+00 1.779347443500758130e+00 9.758618238126258726e-01 -3.889251079447549273e+03 0.000000000000000000e+00
2.521423231263886233e-01 2.193805541921413638e-01 -3.118389763583204743e-01 2.221563297551785165e+00 3.744675695144668026e+00 1.406119946599807990e+00 1.497728766556863489e+00 9.230461221448738041e-01 -3.889248273746524774e+03 0.000000000000000000e+00
2.949503752561569159e-01 8.363545843983217088e-04 -2.712667948892863445e-01 3.102229282206548255e+00 3.447162940619111549e+00 1.358217826918983295e+00 3.235182420059527164e+00 1.074660151308990397e+00 -3.889207488181609733e+03 0.000000000000000000e+00
5.475294751619409414e-03 2.843129834337386752e-01 -1.582806497924265532e+00 -1.950452192141032270e-01 3.542673319232418905e+00 9.178965193173400650e-01 1.305306189981525922e+00 1.061361819971993858e+00 -3.889206054779883743e+03 0.000000000000000000e+00
9.384835700494439936e-02 3.177364734662334045e-01 -1.092687381745694353e+00 7.856990773590434296e-01 3.714860684468147767e+00 6.433562727555992566e-01 1.766685314939526519e+00 9.123715776344484274e-01 -3.889194868827872597e+03 0.000000000000000000e+00
1.788695661172187423e-01 3.318495044499590318e-01 -1.085888475072685599e+00 1.887783565731325330e+00 3.684483864615776927e+00 8.883573952118987149e-01 1.486760361818848519e+00 8.383265419225548465e-01 -3.889190647439379063e+03 0.000000000000000000e+00
3.241706770434966134e-01 3.962343235068406799e-01 -1.572340197629432668e-01 3.168080591677205682e+00 4.263850601494371340e+00 1.409873930813736909e+00 8.746911710255028671e-01 7.303021719684763546e-01 -3.889175681722441368e+03 0.000000000000000000e+00
5.241522018444036424e-03 3.502341149434194389e-01 -7.206294099792351915e-01 -1.525828459198497744e-01 3.539433032929635292e+00 1.465274254224724071e-01 1.451948359452446047e+00 9.436107072178572253e-01 -3.889105214939715552e+03 0.000000000000000000e+00
1.417674443778113580e-01 2.598181550521081462e-01 -4.746675523186284495e-01 5.495407302564330188e-01 3.674012096948342077e+00 1.373187130189774008e+00 1.843264017538935651e+00 9.276947885200961252e-01 -3.889100618520493299e+03 0.000000000000000000e+00
2.205832588140329842e-01 1.830115143528501798e-01 -8.973597381391221761e-01 2.208863421727101262e+00 3.658533694967510463e+00 1.008414917435723535e+00 1.127180707970506068e+00 9.260358320073821536e-01 -3.889057417827465088e+03 0.000000000000000000e+00
2.187091753814215944e-01 1.006913714458493175e-01 -3.710278478190455753e-01 2.702855298059329558e-01 3.488201868186257215e+00 1.523513796345115301e+00 1.533103455297720519e+00 1.009610946868563675e+00 -3.889053197990747321e+03 0.000000000000000000e+00
2.030096184102375967e-01 2.873600736995355898e-01 -1.031031167397360448e+00 2.014805763935027194e+00 3.874567917162759390e+00 9.815475456857445380e-01 1.196978564327412453e+00 7.757029168982150225e-01 -3.889021611798137201e+03 0.000000000000000000e+00
2.851143638441310246e-01 1.338595174727375547e-01 -2.431800670677551623e-01 3.010366768456247843e+00 3.516971249315717696e+00 1.296508733163544536e+00 1.442137333625137963e+00 9.092865598085776435e-01 -3.889019185300674508e+03 0.000000000000000000e+00
2.572870759803426166e-01 3.831111169860766386e-01 -7.691806120454794948e-01 2.741316646538648261e+00 3.881458785930295363e+00 1.057642731001576131e+00 1.234326071869024322e+00 9.134420571476628004e-01 -3.888967497928472312e+03 0.000000000000000000e+00
1.862102968293457561e-01 2.534504923054143877e-01 -6.510615659717655657e-01 1.362161046970421729e+00 3.755107039277775893e+00 1.174026010774891438e+00 1.531721422633662399e+00 8.914706859025450791e-01 -3.888966311272499297e+03 0.000000000000000000e+00
8.522305232763839611e-02 3.366358235468957516e-01 -8.905306322014927556e-01 9.348848470578892123e-01 3.623402872526737983e+00 6.717503761052600053e-01 2.022118924480866387e+00 9.397341033450764547e-01 -3.888926474917318046e+03 0.000000000000000000e+00
2.666510911975187859e-01 6.520137812434725344e-01 -4.875937191401087389e-01 3.364782648179798663e+00 3.884382751691180857e+00 1.172834432547831041e+00 1.068991846217034247e+00 9.688256879684893352e-01 -3.888860596854363394e+03 0.000000000000000000e+00
1.425079445014264257e-01 1.761958333790510645e-01 -5.109762600651667208e-01 1.133633188393608632e-01 3.498012339651868530e+00 1.517384682563701181e+00 1.363841914306393566e+00 9.557502173696641457e-01 -3.888858085983005367e+03 0.000000000000000000e+00
2.581145585662012465e-01 6.282043451471472917e-01 -3.829868482982173306e-01 3.415295580121223473e+00 3.795542128527697567e+00 1.269170193673915481e+00 1.109171776487458683e+00 3.926689558554368742e-01 -3.888841533495217845e+03 0.000000000000000000e+00
2.821640422920060343e-01 6.028294590901117633e-02 -4.385965341096053072e-01 1.600093873109678766e+00 3.595841553544748770e+00 1.091795319552637311e+00 4.286691850212895893e-01 9.825399610314740073e-01 -3.888831916567926783e+03 0.000000000000000000e+00
2.089896830839697017e-01 1.504508707734790174e-01 -6.882583986562883505e-01 9.428359899547171796e-01 3.523255340153522486e+00 1.102877458255798304e+00 1.722547488939782268e+00 1.048374447466288162e+00 -3.888808543200104396e+03 0.000000000000000000e+00
1.186310591314520546e-01 3.006971676161682705e-01 -1.239311304339591802e+00 1.220438622055965094e+00 3.743187221991948199e+00 1.243000478312168422e+00 1.499036813056531026e+00 8.945372655653321958e-01 -3.888798981067993282e+03 0.000000000000000000e+00
2.643613563671303734e-01 3.584722949249639634e-01 -7.356924215307241166e-01 2.990561472822050426e+00 3.668199587415759133e+00 1.138861429414760984e+00 1.403483349453750195e+00 7.223127793890208315e-01 -3.888792769803165356e+03 0.000000000000000000e+00
2.274280036937371130e-01 6.684610732358108043e-02 -4.601998919492581996e-01 6.358246193653127598e-01 3.524143239221076307e+00 1.297341146776033183e+00 1.950132641780819354e+00 1.064585794065243896e+00 -3.888784387263449389e+03 0.000000000000000000e+00
2.880706815531949294e-01 1.539075074031464596e-01 -1.323379551098513573e-01 3.151832394886135980e+00 3.561747259276003774e+00 1.344656287857235455e+00 1.181868142140479083e+00 9.494677467125909320e-01 -3.888756113646280937e+03 0.000000000000000000e+00
2.892826811028864631e-01 3.214722688241282156e-01 -6.085478598994165100e-01 2.702853224527072218e+00 3.977380325827099217e+00 1.162008819752116562e+00 1.108781447966345146e+00 7.763594884671473073e-01 -3.888745371234378581e+03 0.000000000000000000e+00
2.936436111734975762e-01 6.421790525815386230e-01 -5.291386327737505058e-01 3.464710333262393860e+00 3.700280518719296641e+00 1.200771420407990675e+00 1.047823669659342816e+00 8.941006677595149110e-01 -3.888720313252954838e+03 0.000000000000000000e+00
2.858467769111050494e-01 2.836452131439945457e-01 -4.606025800722599595e-01 3.482503146861841703e+00 3.497309983634124819e+00 1.324632936620489421e+00 1.258769885477757589e+00 9.605980254375910965e-01 -3.888712549814715658e+03 0.000000000000000000e+00
3.269195125610745434e-01 4.825073248589143576e-02 -2.099812434425417929e-01 2.949363618755089789e+00 3.539934393166032756e+00 1.338403872890484791e+00 1.261545214363177125e+00 1.030613382823055701e+00 -3.888662269269177614e+03 0.000000000000000000e+00
2.961114832788616091e-01 3.422865169238040184e-01 -1.876415750255282511e-01 3.358570047781508361e+00 3.768483784311206453e+00 1.410204842275319281e+00 1.089755231021435122e+00 7.652379686638232092e-01 -3.888624494547668291e+03 0.000000000000000000e+00
3.433663426063233159e-01 6.485780321398856296e-01 -1.554104216441587749e-01 3.603709162659092691e+00 5.577613252320920978e+00 1.487863565129859289e+00 9.421543768071093394e-01 1.126520857080584914e+00 -3.888618559053435547e+03 0.000000000000000000e+00
8.754683770548943311e-02 2.737804117437475093e-01 1.267657115219091579e-01 1.877414862503068715e-01 3.628681542557015138e+00 1.411295398618047647e+00 1.725873794088140345e+00 9.187279863141418756e-01 -3.888613496425081394e+03 0.000000000000000000e+00
3.279303048940597765e-01 4.518554639722283106e-03 -5.309361767180381664e-02 1.937714225773112808e+00 3.510958597466238285e+00 1.553382106885051961e+00 3.142778298213129151e-01 9.970027328035385716e-01 -3.888611473816369198e+03 0.000000000000000000e+00
1.574542884951258825e-01 2.015737246299869057e-01 -1.048370437921173348e+00 1.028669941169711555e+00 3.691018111604603913e+00 1.135082706187479751e+00 1.629352354997890995e+00 8.995989296937169089e-01 -3.888600703033720492e+03 0.000000000000000000e+00
3.065297956365300447e-01 2.313323515782479967e-01 -3.384899220191222025e-01 3.263449620656584393e+00 3.531291727464859864e+00 1.339058932855591966e+00 1.444012906370552907e+00 8.845599121796920983e-01 -3.888582559328564457e+03 0.000000000000000000e+00
7.435932570051123625e-04 3.422323985258542423e-01 -1.495383608985650481e+00 -8.158422701472668737e-02 3.574112025467224729e+00 2.170973695740308074e+00 1.580605936627548891e+00 9.222685519308292390e-01 -3.888579575032847970e+03 0.000000000000000000e+00
2.946289953613132062e-01 6.521469674921409609e-02 -3.592900743081414161e-01 6.497742628115643626e-01 3.586058803002748707e+00 1.433676450191177398e+00 1.545467333604270133e+00 9.923095425366624811e-01 -3.888561233842222464e+03 0.000000000000000000e+00
2.788443626742042047e-01 1.220886523549798153e-02 -4.106960126639973563e-01 1.906736737939817683e+00 3.423813251146523129e+00 1.224949930554986910e+00 2.368430397296455325e+00 1.049730482899217776e+00 -3.888559661142792265e+03 0.000000000000000000e+00
9.949368418557388849e-02 2.316955165633415303e-01 -1.679868834822381141e+00 2.606032990885547851e-01 3.586277693064340522e+00 7.086069305527101791e-01 1.054745280691841813e+00 1.013957428480631862e+00 -3.888558248234514849e+03 0.000000000000000000e+00
3.126253388238227071e-01 6.829030707719354609e-01 -3.598902760839020609e-01 3.575325444363300242e+00 4.298795077716724755e+00 1.356321053893731809e+00 9.988776448152476561e-01 2.987416518115383113e+00 -3.888554764641828115e+03 0.000000000000000000e+00
2.374092054887683712e-01 5.257021913800464796e-01 -4.112081013844232080e-01 3.192307184127356479e+00 3.922737220721825846e+00 1.274469788821847249e+00 1.112795959512915767e+00 7.533083382570278097e-01 -3.888546740845579734e+03 0.000000000000000000e+00
2.950340312797561371e-01 2.877262650369442898e-02 -3.299884872735355801e-01 1.637000743152230431e-01 3.606209417092618885e+00 1.470975802580454017e+00 1.531011588529068712e+00 9.589663894363159580e-01 -3.888545947135958613e+03 0.000000000000000000e+00
3.190415779787942885e-01 4.168201833766437686e-03 -1.938134865590074585e-01 3.926597462029322028e-01 3.544197672213628802e+00 1.555404041842881835e+00 2.255921921382744610e+00 9.518533265196892357e-01 -3.888533875168190661e+03 0.000000000000000000e+00
2.458622367614975157e-02 2.855770660721847487e-01 -9.430219526347913828e-01 3.261037894131008086e-02 3.541596476216621880e+00 5.792951134605841546e-01 1.620311273129807272e+00 9.628174790024069951e-01 -3.888485345341185621e+03 0.000000000000000000e+00
2.254977041039151753e-01 2.037713631023105876e-01 -4.517711997805946567e-01 1.698193584724450700e+00 3.715526510710581487e+00 1.229767564660876999e+00 1.700041787193553366e+00 9.374617826784854557e-01 -3.888483478804309925e+03 0.000000000000000000e+00
2.806099863997367772e-01 1.342803563204095219e-02 -3.603628749514272145e-01 2.943686970166016881e+00 3.546385320279702658e+00 1.282354051396236372e+00 1.385681172983132425e+00 1.059956149822559812e+00 -3.888477877858008924e+03 0.000000000000000000e+00
3.034184320791087353e-01 6.410191097606388055e-01 -4.288734227074367800e-01 3.518855212731348825e+00 3.693473270593948143e+00 1.234694789982310192e+00 1.096990474568585672e+00 6.005948068914525040e-01 -3.888431241177448101e+03 0.000000000000000000e+00
2.500075730509831451e-01 5.475952334190609117e-01 -3.669408098443519561e-01 3.341147190138666012e+00 3.678168126961336437e+00 1.222120008345307207e+00 1.189766992552998781e+00 7.057252234726791862e-01 -3.888415659578044142e+03 0.000000000000000000e+00
3.190310993122940086e-01 2.586657149239222908e-02 -1.839913307107690355e-01 6.847966326657342062e-01 3.527928972274860353e+00 1.500374941624256664e+00 2.503810314801835801e+00 9.847512990228908247e-01 -3.888370067372020458e+03 0.000000000000000000e+00
3.750181326370481960e-01 2.656741437180814569e-01 1.541747256087096507e-01 3.398143777215196781e+00 3.810107716855239079e+00 1.643235890368945018e+00 9.072159440962963561e-01 8.737401364513819324e-01 -3.888368517625331151e+03 0.000000000000000000e+00
2.563190619500041456e-01 8.643599702140625229e-02 -4.490004574865315012e-01 1.160055548631649058e+00 3.645959286178329872e+00 1.322028495810208426e+00 1.194147981330479169e+00 1.017965917441581380e+00 -3.888366752241514405e+03 0.000000000000000000e+00
1.657356852643314671e-01 1.487416796235780658e-01 -1.315063683780611115e+00 7.612605761495856438e-01 3.584459253878998108e+00 8.739145961222559711e-01 9.409287184551575756e-01 9.146798909895487162e-01 -3.888332889306327615e+03 0.000000000000000000e+00
3.149747712647510967e-01 2.946019385052651152e-01 -3.825473556190990831e-01 3.207060460242399991e+00 3.808094864766729426e+00 1.231032875301613982e+00 1.071173233943093939e+00 8.887843008078671891e-01 -3.888325492109740026e+03 0.000000000000000000e+00
1.230099519995475343e-01 3.414008815680996123e-01 -1.397149467115115673e+00 1.860475661702545080e+00 3.652667362347450375e+00 9.328738706482204712e-01 1.801553220006115730e+00 8.559249954908768609e-01 -3.888313974255097492e+03 0.000000000000000000e+00
2.373432513905202879e-01 5.089815853064221240e-01 -7.495541538969782147e-01 2.944111063134656536e+00 4.039637829677952929e+00 1.040753291109963063e+00 1.118920966763353064e+00 7.155187931614809260e-01 -3.888294949022101719e+03 0.000000000000000000e+00
3.517850388204992740e-01 3.523562749440921071e-01 -1.269466837051757002e-01 3.569687527805763150e+00 3.591638286178216788e+00 1.554665240960340977e+00 8.276293727814727497e-01 1.052864054451427611e+00 -3.888289965899685740e+03 0.000000000000000000e+00
2.204371621336588816e-01 8.486285872022286680e-02 -6.641650022141547538e-01 1.407176420638003966e+00 3.467618697163572072e+00 1.085905140014183923e+00 1.145188253797541744e+00 1.014095296827323356e+00 -3.888287625902712989e+03 0.000000000000000000e+00
3.402924736074888767e-01 1.269078729569428701e-02 -1.321417131608565096e-02 4.295277843048681543e-01 3.653108403368000356e+00 1.476344819721712165e+00 2.513241106006661951e+00 9.222861903452842514e-01 -3.888276925889964332e+03 0.000000000000000000e+00
